PlayerId,TeamId,Touchdowns,Tackles,Points,Interceptions,Name,PositionalUnit,PassingYards,RushingYards,RecievingYards,Sacks,PlayedInProBowl
182,10,0,3,0,0,Brendan Langley,zzz,0,0,0,0,0
183,13,0,18,0,1,Brennan Scarlett,LB,0,0,0,0,0
184,30,0,48,0,0,Brent Grimes,CB,0,0,0,0,0
185,3,0,27,0,0,Brent Urban,DE,0,0,0,0.5,0
186,8,2,0,12,0,Breshad Perriman,WR,0,2,340,0,0
187,31,0,1,0,0,Brett Kern,P,0,0,0,0,1
188,9,0,1,119,0,Brett Maher,K,0,0,0,0,0
189,27,0,1,0,0,Brian Allen,zzz,0,0,0,0,0
190,2,0,0,0,0,Brian Hill,RB,0,157,9,0,0
191,22,0,0,0,0,Brian Hoyer,QB,7,0,0,0,0
192,31,0,28,0,0,Brian Orakpo,LB,0,0,0,1.5,0
193,10,0,1,0,0,Brian Parker,TE,0,0,33,0,0
194,13,0,9,0,0,Brian Peters,zzz,0,0,0,0,0
195,2,0,74,0,3,Brian Poole,CB,0,0,0,3,0
196,25,0,12,0,0,Brian Price,DT,0,0,0,0,0
197,32,0,0,0,0,Brian Quick,WR,0,0,18,0,0
198,19,1,0,6,0,Brice Butler,WR,0,0,60,0,0
199,8,0,56,0,0,Briean Boddy-Calhoun,CB,0,0,0,0,0
200,8,0,0,0,0,Britton Colquitt,P,0,0,0,0,0
201,28,0,6,0,0,Brock Coyle,LB,0,0,0,0,0
202,19,6,0,36,0,Brock Osweiler,QB,1247,21,0,0,0
203,2,0,24,0,0,Brooks Reed,DE,0,0,0,1,0
204,2,0,21,0,0,Bruce carter,zzz,0,0,0,0,0
205,13,1,1,6,0,Bruce Ellington,WR,0,2,224,0,0
206,26,0,2,0,0,Bruce Hector,zzz,0,0,0,0.5,0
207,25,0,19,0,0,Bruce Irvin,DE,0,0,0,6.5,0
208,30,0,2,0,0,Bryan Anger,P,0,0,0,0,0
209,5,0,10,0,0,Bryan Cox,zzz,0,0,0,0,0
210,6,0,45,0,2,Bryce Callahan,CB,0,0,0,2,0
211,18,0,14,0,0,Bryce Hager,zzz,0,0,0,0,0
212,31,0,8,0,0,Brynden Trawick,zzz,0,0,0,0,0
213,27,1,42,6,1,Bud Dupree,DT,0,0,0,5.5,0
214,1,1,102,6,0,Budda Baker,S,0,0,0,2,0
215,13,0,9,0,0,Buddy Howell,zzz,0,0,0,0,0
216,24,0,58,0,0,Buster Skrine,CB,0,0,0,0.5,0
217,9,0,67,0,0,Byron Jones,CB,0,0,0,0,1
218,32,0,2,0,0,Byron Marshall,zzz,0,9,30,0,0
219,18,3,0,18,0,C.J. Anderson,RB,0,403,41,0,0
220,28,9,0,54,0,C.J. Beathard,QB,1252,69,0,0,0
221,9,0,1,0,0,C.J. Goodwin,zzz,0,0,0,0,0
222,20,0,4,0,0,C.J. Ham,RB,0,8,85,0,0
223,3,0,105,0,1,C.J. Mosley,LB,0,0,0,0.5,1
224,29,0,0,0,0,C.J. Prosise,RB,0,-3,22,0,0
225,15,0,1,0,0,C.J. Reavis,zzz,0,0,0,0,0
226,7,3,0,18,0,C.J. Uzomah,TE,0,0,439,0,0
227,30,0,0,64,0,Cairo Santos,K,0,0,0,0,0
228,15,0,72,0,0,Calais Campbell,DE,0,0,0,10.5,1
229,32,0,1,0,0,Caleb Brantley,zzz,0,0,0,0,0
230,17,0,1,36,0,Caleb Sturgis,K,0,0,0,0,0
231,2,10,0,60,0,Calvin Ridley,WR,0,27,821,0,0
232,5,28,0,168,0,Cam Newton,QB,3395,488,0,0,0
233,4,0,0,0,0,Cam phillips,WR,0,0,9,0,0
234,5,1,1,6,0,Cameron Artis-Payne,zzz,0,69,15,0,0
235,31,0,1,0,0,Cameron Batson,WR,0,1,82,0,0
236,30,6,0,36,0,Cameron Brate,TE,0,0,289,0,0
237,27,0,51,0,0,Cameron Heyward,DT,0,0,0,8,1
238,26,0,1,0,0,Cameron Johnston,P,0,0,0,0,0
239,21,0,49,0,0,Cameron Jordan,DE,0,0,0,12,1
240,30,0,4,0,0,Cameron Lynch,zzz,0,0,0,0,0
241,19,0,10,0,0,Cameron Malveaux,DE,0,0,0,1,0
242,21,1,0,6,0,Cameron Meredith,WR,0,0,114,0,0
243,27,0,22,0,1,Cameron Sutton,CB,0,0,0,0,0
244,19,0,36,0,0,Cameron Wake,DE,0,0,0,6,0
245,5,0,47,0,1,Captain Munnerlyn,CB,0,0,0,2,0
246,9,0,10,0,0,caraun Reid,DT,0,0,0,0.5,0
247,8,0,1,0,0,carl Davis,zzz,0,0,0,0,0
248,7,0,6,0,0,carl Lawson,zzz,0,0,0,1,0
249,30,0,29,0,0,carl Nassib,DE,0,0,0,6.5,0
250,7,0,47,0,0,carlos Dunlap,DE,0,0,0,8,0
251,15,5,0,30,0,carlos Hyde,RB,0,571,33,0,0
252,13,0,3,0,0,carlos Watkins,zzz,0,0,0,1,0
253,30,0,40,0,0,carlton Davis,CB,0,0,0,0,0
254,14,0,5,0,0,carroll phillips,zzz,0,0,0,0,0
255,26,21,0,126,0,carson Wentz,QB,3074,93,4,0,0
256,10,20,0,120,0,Case Keenum,QB,3890,93,0,0,0
257,17,0,46,0,0,Casey Hayward,CB,0,0,0,0,0
258,32,0,1,0,0,Cassanova McKinzy,zzz,0,0,0,0,0
